STORMNET_ID,total_acres,perc_ROW,perc_SWE
STMN0113403110,14.549777,24.26,2.81
STMN0113403112,1.396379,41.9,2.33
STMN0113403114,22.228457,22.7,8.59
STMN0113403118,14.258953,16.89,1.39
STMN0113403121,19.260208,13.88,2.27
STMN0113403164,1.952055,27.43,10.73
STMN0113403167,2.141961,30.86,2.89
STMN0113403181,20.915597,11.39,7.44
STMN0113403204,2.191802,20.13,2.54
STMN0113403205,0.192429,49.27,12.37
STMN0113403440,6.547418,13.18,2.18
STMN0113403445,26.034662,28.13,1.25
STMN0113403495,9.542614,6.16,14.23
STMN0113403509,15.578151,11.25,0.35
STMN0113403518,2.405161,0,2.81
STMN0113403532,6.8851,11.53,4.29
STMN0113403543,1.630824,37.18,4.04
STMN0113403546,0.833398,2.79,2.28
STMN0113403550,1.021319,0,2.13
STMN0113403551,1.908092,0,3.68
STMN0113403564,2.633644,0,6.09
STMN0113403571,4.001837,1.16,5.48
STMN0113403572,2.809269,0,3.81
STMN0113403588,0.858086,17.4,2.65
STMN0113403591,0.797796,24.22,6.26
STMN0113403596,1.38132,22.61,1.95
STMN0113403607,3.003536,16.63,4.64
STMN0113403626,5.090492,21.59,2.6
STMN0113403642,3.723043,17.47,1.55
STMN0113403655,1.740605,30.41,3.13
STMN0113403665,24.656863,17.07,7.77
STMN0113510852,2.12506,0,5.06
STMN0114002280,3.039828,15.95,5.66
STMN0114002326,2.554302,22.25,1.62
STMN0114002337,1.308775,0,4.04
STMN0114002388,1.71037,48.24,5.95
STMN0114002413,9.880445,7.13,5.79
STMN0114002490,14.311357,11.22,4.17
STMN0114002511,3.384361,0,4.03
STMN0114002544,10.060213,0.12,11.01
STMN0114002552,12.351599,9.72,13.52
STMN0114002586,1.095657,45.6,4.49
STMN0114002675,2.304626,0,5.3
STMN0114002679,2.330513,6.93,6.92
STMN0114002687,0.698605,0,3.49
STMN0114002688,1.609231,1.18,7.19
STMN0114002692,3.099582,31.94,3.62
STMN0114002710,1.25891,0,3.85
STMN0114002720,6.957718,12.35,3.32
STMN0114002805,1.680113,0,1.44
STMN0114002810,3.444099,0,3.59
STMN0114002826,4.819916,0,5.95
STMN0114002827,16.064273,15.72,4.31
STMN0114002850,2.129142,23.87,16.99
STMN0114002929,24.059021,11.02,5.24
STMN0114002930,1.036063,0,12.19
STMN0114002938,1.022895,0.95,3.12
STMN0114002961,2.416494,0.49,2.24
STMN0114002978,3.561104,6.12,26.68
STMN0114002994,1.966193,72.13,6.03
STMN0114003020,27.734946,16.02,4.04
STMN0114003029,0.883842,67.12,16.46
STMN0114003033,13.670911,14.3,2.74
STMN0114003064,7.966855,9.16,5.14
STMN0114003086,6.005283,21.97,5.32
STMN0114003548,6.039328,28.17,2.69
STMN0114003595,4.420096,0.22,2.22
STMN0114003614,1.30565,0,7.42
STMN0114003682,11.496688,15.91,3.2
STMN0114003932,0.99241,1.65,4.84
STMN0114003957,29.375856,17.32,0.53
STMN0114003972,3.61163,4.51,3
STMN0114004017,1.829494,20.98,5.54
STMN0114004040,1.118102,5.3,3.19
STMN0114079484,1.139669,29.95,11.36
STMN0114079485,34.701906,6.74,8.98
STMN0114079488,1.018742,3.29,3.15
STMN0114079490,5.357608,53.39,18.79
STMN0114507338,20.876957,8.68,9.48
STMN0121000740,4.829371,0,0.44
STMN0121000785,1.734072,21.55,6.85
STMN0121000848,5.51767,20.48,0.31
STMN0121000860,2.835093,5.83,3.64
STMN0121000879,1.641064,31.33,0.47
STMN0121000930,1.445891,28.27,1.36
STMN0121000995,6.346115,14.2,0.91
STMN0121001071,0.221759,86.06,9.13
STMN0121001456,1.906011,32.54,0.89
STMN0121001716,2.445275,38.05,0.84
STMN0121001855,6.97039,28.33,1.57
STMN0121001904,6.942142,23.71,7.25
STMN0121001921,0.811618,0,14.17
STMN0121002015,2.628785,0,16.96
STMN0121002067,8.611717,14.88,2.68
STMN0121002163,68.909179,19.49,2.13
STMN0121002223,5.142144,16.84,6.79
STMN0121002253,16.883108,13.15,6.75
STMN0121055734,22.307583,6.34,2.22
STMN0121055961,46.911545,8.33,4.73
STMN0121055999,1.662023,26.75,0.04
STMN0121056031,1.443985,26.42,8.92
STMN0121056039,6.767487,22.58,1.84
STMN0121060481,6.247813,14.4,1.34
STMN0121082254,16.29832,6.64,5.72
STMN0121507936,4.454826,22.68,1.73
STMN0121508250,13.415696,16.04,4.62
STMN0121508260,1.129743,0,7.82
STMN0122000676,36.674374,9.04,8.34
STMN0122000807,4.371575,0,0.05
STMN0122001019,22.471334,12.85,9.58
STMN0122001020,115.282548,3.65,3.33
STMN0122001031,0.268609,49.86,18.2
STMN0122001057,13.261191,1.39,6.19
STMN0122001154,1.883848,44.81,1.42
STMN0122001246,13.991724,16.61,6.3
STMN0122001262,1.237228,54.46,1
STMN0122001278,3.152183,26.59,2.42
STMN0122001288,28.542365,10.55,7.83
STMN0122001323,2.395755,28.22,2.26
STMN0122001380,3.63907,19.01,0.08
STMN0122001470,1.775448,38,1.45
STMN0122001492,20.176694,12.66,0.22
STMN0122001610,2.022576,8.44,3.48
STMN0122001832,8.13571,11.73,3.95
STMN0122001833,14.575264,12.24,3.07
STMN0122001837,1.411714,49.68,0.78
STMN0122001867,0.133691,55.16,12.99
STMN0122002212,6.72598,15.95,1.38
STMN0122054752,29.220066,16.83,4.8
STMN0122068991,4.484268,21.65,8.85
STMN0122402007,18.870453,8.06,3.9
STMN0122508243,8.125576,19.21,3.77
STMN0122508244,8.68417,10.71,5.54
STMN0123002268,0.973031,33.09,14.83
STMN0123002312,5.429052,10.22,6.26
STMN0123002474,13.708946,11.7,2.98
STMN0123002534,5.697164,5.57,4.69
STMN0123002646,1.383025,26.69,0.5
STMN0123002764,1.01523,38.75,2.02
STMN0123002879,9.504332,12.75,6.86
STMN0123002885,8.045362,15.92,11.73
STMN0123002888,0.552635,28.09,1.55
STMN0123002890,1.214223,43.28,18.04
STMN0123002902,5.479567,5.01,3.11
STMN0123002944,11.434195,6.65,2.46
STMN0123003039,9.9666,11.31,4.91
STMN0123003080,7.749406,10.96,2.05
STMN0123003249,36.527438,10.02,5.53
STMN0123003589,17.808723,4.37,4.02
STMN0123003666,4.212643,26.73,3.54
STMN0123003760,4.336802,0,6.15
STMN0123003809,1.284267,35.44,9.22
STMN0123003880,3.005835,21.46,2.62
STMN0123003891,4.7178,2.08,1.27
STMN0123003954,8.636143,16.68,3.82
STMN0123004027,20.894111,19.08,6.64
STMN0123004109,6.843792,22.93,2.47
STMN0123056064,16.374062,22.91,5.16
STMN0123056142,17.211339,29.98,1.71
STMN0123086879,0.910858,57.49,26.86
STMN0124002224,19.330712,9.58,7.84
STMN0124002453,13.296985,10.85,2.24
STMN0124002525,3.670132,26.38,1.66
STMN0124002598,6.551252,11.26,1.7
STMN0124002671,1.788256,25.41,3.68
STMN0124002714,0.441468,63.32,1.53
STMN0124002792,5.061028,14.61,1.29
STMN0124003027,6.259334,5.66,1.21
STMN0124003349,18.024263,15.89,2.41
STMN0124003370,9.893892,11.24,6.68
STMN0124003412,2.848438,10,0.76
STMN0124003471,5.026761,40.11,2.72
STMN0124003486,6.074143,8.71,15.2
STMN0124003584,9.896832,23.05,7.77
STMN0124003637,5.599502,20.95,8.21
STMN0124003928,26.293763,33.28,2.01
STMN0124004026,8.33452,20.38,2.14
STMN0124072315,1.088828,0,4.22
STMN0124087603,18.050707,10.91,2.4
STMN0124509411,1.183397,23.2,17.6
STMN0131000649,5.139202,8,9.76
STMN0131000914,14.876469,9.26,1.74
STMN0131001092,6.096641,0.02,2.08
STMN0131001174,14.553826,10.52,4.1
STMN0131001213,3.237621,0,14.57
STMN0131001263,1.041614,26.35,5.85
STMN0131001928,6.587817,31.92,2.92
STMN0131002200,4.940133,17.64,1.85
STMN0132001785,11.216721,19.92,2.88
STMN0132061976,20.210213,8.71,3.02
STMN0132064181,5.31914,0,1.79
STMN0133002283,3.978602,20.42,3.28
STMN0133003538,16.29302,15.17,9.62
STMN0133078074,1.6457,0,3.51
STMN0134003485,4.582654,0,55.92
STMN0134003622,4.578018,11.47,2.69
STMN0134056060,0.781954,0,10.2
STMN0134056274,2.826106,10.61,2.14
STMN0143003605,2.135004,8.08,4.16
STMN0152001901,31.737058,7,3.94
STMN0152513924,1.832364,87.05,2.4
STMN0154061094,2.585941,11.28,0.88
STMN0154063580,3.026176,0,0.41
STMN0154063708,9.623157,4.58,6.39
STMN0154064472,0.402417,0,9.38
STMN0154066863,2.212543,16.85,1.1
STMN0154067790,15.955533,2.65,11.89
STMN0154081264,2.531962,0,9.16
STMN0154081443,73.592344,16.12,3.23
STMN0154088993,0.161871,84.45,5.81
STMN0154088997,3.469499,10.44,10.11
STMN0154407949,6.370786,25.31,3.89
STMN0154407955,3.370898,29.55,6.37
STMN0154407962,3.742754,12.72,4.75
STMN0154407972,0.129123,54.37,15.84
STMN0154408011,3.848176,2.79,3.52
STMN0154408064,10.849613,31.29,1.89
STMN0154408067,0.521457,0,19.88
STMN0154408070,11.815257,0,8.43
STMN0154408073,4.954055,0,3.53
STMN0154408103,114.972693,5.39,11.69
STMN0154514735,2.266467,13.54,0.55
STMN0154514740,3.022736,1.76,2.95
STMN0154518188,2.064766,0,4.34
STMN0161067314,1.15805,8.08,4.29
STMN0161404722,2.268727,24.33,2.07
STMN0161404771,0.810551,0,5.67
STMN0161404775,42.787328,9.43,3.32
STMN0161404795,1.095084,13.66,1.82
STMN0161404801,2.908283,28.87,4.76
STMN0161404805,12.012649,12.32,3.81
STMN0161404810,0.481479,0,0
STMN0161404841,1.826003,0.04,28.03
STMN0161404845,1.664434,0.35,21.66
STMN0161404993,0.790678,0.63,8.16
STMN0161404994,129.907631,2.37,0.53
STMN0161404997,2.281127,0,2.61
STMN0161405107,8.674341,8.48,3.64
STMN0161509515,10.583997,14.9,3.26
STMN0161511381,36.880215,8.54,1.25
STMN0161513810,1.738065,2.11,3.52
STMN0161513813,2.684081,0.13,3.15
STMN0161513858,2.399074,0,1.86
STMN0161514363,15.916761,4.17,8.36
STMN0163062445,15.504694,9.61,4.63
STMN0163064561,0.784214,19.25,12.93
STMN0163067008,3.963076,7.06,13.05
STMN0163068710,0.205969,33.97,3.39
STMN0163079718,1.42959,0,28.3
STMN0163091508,0.127246,0,52.74
STMN0163407235,12.785771,9.53,3.89
STMN0163407245,0.997518,69.16,7.51
STMN0163407458,15.321558,25.72,9.05
STMN0163407466,36.885552,7.16,3.8
STMN0163407488,4.005417,71.59,2.87
STMN0163407569,7.36405,7.91,11.27
STMN0163407652,71.865439,15.92,5.52
STMN0163407678,2.42228,9.53,2
STMN0163407682,5.829455,16.38,9.41
STMN0163407723,25.671574,5.26,18.43
STMN0163407726,1.187501,70.29,22.08
STMN0163407736,11.010539,30.82,0.79
STMN0163407752,2.301132,14.39,0.46
STMN0163407757,1.167714,0,3
STMN0163407790,70.159032,9.64,10.9
STMN0163407921,6.781065,16.31,9.77
STMN0163514064,3.076987,0,2.84
STMN0163514066,0.446916,0,6.17
STMN0163514071,11.311942,8.16,6.69
STMN0163514398,6.50535,52.83,4.88
STMN0163514465,43.742796,0.01,3.96
STMN0163515669,20.24944,78.99,1.44
STMN0163515673,0.765456,0,0.55
STMN0163515678,1.859222,6.61,5.05
STMN0163515717,1.821856,14.92,6.65
STMN0163515765,4.841837,2.73,0.45
STMN0164075712,1.872991,1.72,10.86
STMN0164076927,1.316975,55.81,3.53
STMN0164406691,1.474591,0,17.16
STMN0164406702,1.913399,0,1.07
STMN0164406706,0.831453,57.3,3.25
STMN0164406726,4.365238,28.12,5.45
STMN0164406732,1.735223,24.57,1.85
STMN0164406740,15.980579,27.2,7.88
STMN0164406767,3.789225,25.74,4.37
STMN0164406770,1.06741,30.91,2.56
STMN0164406776,1.941866,34.76,3.03
STMN0164406807,13.35561,19.16,3.43
STMN0164406817,4.826458,42.05,0.27
STMN0164406824,3.409584,27.42,1.84
STMN0164406869,4.260351,19.09,1.76
STMN0164406876,0.827644,69.31,1.48
STMN0164406891,8.602318,18.94,7.22
STMN0164406958,5.72979,13.16,3.45
STMN0164406975,3.779108,25.12,1.62
STMN0164406978,1.564019,33.49,2.08
STMN0164406998,10.263921,21.2,3.51
STMN0164407050,24.293408,39.68,0.25
STMN0164503718,1.980198,38.01,4.14
STMN0164503721,1.662359,30.92,9.2
STMN0164510867,1.415087,35.55,1.72
STMN0164514219,0.085495,0,77.11
STMN0171004312,1.387156,35.75,2.83
STMN0171004339,1.469002,0,3.9
STMN0171004442,9.413682,19.24,3.47
STMN0171004502,4.511528,16.78,2.35
STMN0171004729,4.225659,3.8,7.91
STMN0171004762,3.53324,0,6.12
STMN0171004915,1.927541,20.84,5.21
STMN0171005004,0.936488,0,7.59
STMN0171005067,10.722535,17.31,4.87
STMN0171005211,3.952534,22.6,5.38
STMN0171005215,5.641974,15.43,0.78
STMN0171005494,44.025436,15.5,2.82
STMN0171005551,1.197713,0,6.14
STMN0171005812,7.36809,4.14,0.26
STMN0171006749,88.391279,9.25,11.8
STMN0171087535,0.39356,64.02,0.29
STMN0171087544,1.344444,2.8,25.9
STMN0171093287,2.933849,0,23.9
STMN0171503650,3.069681,15.89,3.85
STMN0171513747,3.702898,0.55,0.86
STMN0171513762,3.547365,0.23,1.53
STMN0171515365,2.190207,8.69,2.4
STMN0172004358,12.856408,23.74,1.73
STMN0172004385,2.290867,28.09,4.67
STMN0172004441,1.324788,14.6,2.37
STMN0172004477,18.968762,5.49,4.75
STMN0172004536,3.628724,9.56,4.1
STMN0172004563,16.071974,16.8,2.7
STMN0172004635,1.606922,10.84,3.49
STMN0172004649,1.71778,29.11,4.01
STMN0172004725,3.832776,8.96,7.3
STMN0172004793,1.060316,6.04,6.22
STMN0172004856,0.501816,0,1.56
STMN0172004872,1.74933,0,37.64
STMN0172004879,3.271108,14.34,4.28
STMN0172004903,18.608162,9.17,4.75
STMN0172004916,1.14715,0,2.33
STMN0172005079,1.434862,0,1.74
STMN0172005150,5.576672,17.74,7.52
STMN0172005157,32.728623,5.16,12.63
STMN0172005203,0.759178,0,5.95
STMN0172005286,3.254846,2.34,4.78
STMN0172005380,1.363849,1.55,1.63
STMN0172005382,2.462782,6.62,14.13
STMN0172005396,8.870165,5.97,4.49
STMN0172005502,1.963285,49.76,1.46
STMN0172005507,5.636357,4.49,8.13
STMN0172005511,1.060978,14.61,2.51
STMN0172005516,1.903254,6.24,14.22
STMN0172005589,0.99281,1.4,8.01
STMN0172005625,8.066265,12.71,6.42
STMN0172005646,10.221293,18.68,6.12
STMN0172005649,0.489227,0,7.77
STMN0172005688,4.70258,5.69,4.03
STMN0172005761,3.361779,21.84,8.22
STMN0172005899,21.382339,8.64,4.15
STMN0172005901,2.514898,20.66,1.97
STMN0172005903,9.672379,23.18,2.76
STMN0172005981,0.510804,0,4.41
STMN0172005997,1.003339,20.2,4.89
STMN0172005999,5.316966,0,3.75
STMN0172006066,1.979508,20.41,7.36
STMN0172006120,0.570233,37.63,2.88
STMN0172006193,0.486213,0,3.28
STMN0172006274,19.600995,7.2,1.54
STMN0172006307,0.441758,39.64,13.52
STMN0172006484,2.081507,37.39,1.09
STMN0172006568,1.245527,0,7.55
STMN0172006607,0.854532,11.72,2.38
STMN0172006638,2.538786,18.62,1.05
STMN0172006650,1.607253,10.88,1.84
STMN0172006651,3.98628,14.8,4.36
STMN0172006677,2.95676,17.01,4.88
STMN0172006679,2.332774,0,3.01
STMN0172006845,5.578964,0,1.77
STMN0172066730,0.607669,1.08,10.21
STMN0172069188,2.791383,9.34,2.73
STMN0172069251,4.749483,41.71,4.18
STMN0172069310,3.306046,25.56,1.37
STMN0172069401,1.965663,31.83,12.16
STMN0172069476,2.974332,8.64,3.64
STMN0172509370,1.431326,0,5.87
STMN0172509371,4.703169,9.23,4.23
STMN0172509869,4.77671,4.36,1.7
STMN0173007336,4.723184,0,3.12
STMN0173007422,115.96351,28.64,4.22
STMN0173007985,2.63662,1.53,7.01
STMN0173008319,1.115496,0,11.33
STMN0173008352,1.843694,20.23,3
STMN0173008636,13.910039,11.22,2.52
STMN0173009171,58.694739,20.53,3.56
STMN0173009350,32.907329,10.49,6.14
STMN0173010034,5.048861,12.13,1.3
STMN0173079611,9.585699,3.24,5.86
